name;url;description;field
NUI Care;https://www.nui.care/;Egal ob Anträge stellen, Arzttermine organisieren, Pflegehandgriffe erlernen oder persönliche Beratung durch Pflegeexperten. Pflege einfach gemeinsam meistern.;wA/Kommunikation
careIT;https://nursit.de/nursit-home;Wir haben eine moderne, intuitive Expertensoftware geschaffen, die nicht nur beim täglichen Pflegeprozess und der Pflegedokumentation mittels KI und Prädiktion unterstützt, sondern auch Routineaufgaben automatisch und selbstständig übernehmen kann. careIT ist mobil und kann in allen Pflegesettings und -sektoren interoperabel genutzt werden.;wA/Dokumentation
orgavision;https://www.orgavision.com/software;orgavision erfüllt alle Anforderungen einer Software für moderne, digitale Managementsysteme: Informationen zuverlässig lenken und verteilen, Wissen speichern, Prozesse transparent und nachvollziehbar machen.;prA/Kommunikation
PARO;http://www.parorobots.com/index.asp;PARO is an advanced interactive robot developed by AIST, a leading Japanese industrial automation pioneer. It allows the documented benefits of animal therapy to be administered to patients in environments such as hospitals and extended care facilities where live animals present treatment or logistical difficulties.;IA/Telecare
Pepper;https://www.probo-robotics.at/humanoider-roboter-pepper/;Pepper dient als Ansprechpartner für Patienten, muntert sie auf und erfüllt Ihre Wünsche.;IA/Robotik
PETRA;https://www.merckgroup.com/de/research/science-space/envisioning-tomorrow/precision-medicine/petra.html;PETRA steht für Prescreening Experience Through Robot Assessment. Also ein Vorabscreening durch ein Robotergutachten, das in einer öffentlich zugänglichen Umgebung stattfinden soll.;wA/Robotik
pflege campus;https://www.pflegecampus.de/demo/1/?id=5&aktiv=fachfortbildungen&gclid=EAIaIQobChMIxJPXrKKh8wIVk7myCh0rgQ0nEAAYAyAAEgI_7PD_BwE&gclsrc=aw.ds;Sie haben Zugriff auf TOP-Experten zu verschiedensten Themen und Wissen aus der Pflegebranche in unserem einzigartigen Kursangebot mit über 250 Schulungen inklusive Pflichtunterweisungen mit mehrsprachigen Untertiteln.;wA/Kommunikation
Pflegedienst-Manager;https://www.pflegedienst-personal.de/app-pflegedienst-manager.html;Alle Tätigkeitsprofile in ihrer Pflegeeinrichtung werden durch Symbole in der App dargestellt und unterstützen ihre Mitarbeiter bei der Erfassung täglicher Routinearbeiten sowie der papierlosen Verwaltung und Dokumentation von Pflegeleistungen.;prA/Dokumentation
Pflegepartner;https://www.vkb.de/content/services/exklusiver_gesundheitsservice/pflegepartner/;"Mit der Informationsplattform „PflegePartner"" haben wir ein Angebot speziell für pflegende Angehörige auf die Beine gestellt – unabhängig davon, ob Sie bei uns versichert sind.";prA/Kommunikation
Pflegeplatzmanager;https://www.pflegeplatzmanager.de/;Der Pflegeplatzmanager ist eine webbasierte, digitale Plattformlösung, die ein gesetzes- und vertragskonformes Entlass-, Aufnahme und Überleitmanagement ermöglicht. Unser Ziel ist es, jeden Patienten eine bedarfsgerechte Versorgung unter Berücksichtigung des Wunsch- und Wahlrechts bieten zu können und alle Akteure auf Augenhöhe zu vernetzen.;prA/Dokumentation
Pflegerwohl;https://www.pflegerwohl.de/pflegerwohl-app;Deswegen funktioniert der digitale Austausch so leicht wie bei bekannten Messenger-Diensten. Sogar per Sprachnachricht. Dokumentationen werden einmalig erfasst und sind für jeden Berechtigten zugänglich – genauso wie Übergabeprotokolle.;prA/Kommunikation
Philips Lifeline;https://www.lifeline.philips.com/;Our easy-to-use medical alert systems let you summon any type of help whenever you need it, any time of day or night - even if you can't speak1. All you need to do is press your help button, worn as a wristband or pendant, and a Trained Care Specialist will make sure you quickly get the help you need.;IA/Kommunikation
PLANERIO;https://planerio.de/;Die Kombination aus Künstlicher Intelligenz (KI) mit der Erfahrung aus Millionen von Dienstplänen versetzt uns in die Lage, den Dienstplanungsprozess vollständig zu automatisieren. Unser Algorithmus verarbeitet die Komplexität beliebig vieler Planungsvariablen in wenigen Minuten.;prA/Dokumentation
QuartrBack;https://www.develop-group.de/produktsoftware-sensor/senso-innovativ/quartrback;"Eine Fördermaßnahme im Rahmen des Förderschwerpunktes ""Pflegeinnovationen für Menschen mit Demenz"". Für mehr Mobilität, Unabhängigkeit und Teilhabe am sozialen Leben mithilfe eines Ortungsgerätes in der Altenpflege";IA/Assistenzsystem
Quiply;https://insights.quiply.com/blog/die-mitarbeiter-app-in-der-pflege-dynamische-kommunikation-und-das-standort%C3%Bcbergreifend;WhatsApp-Gruppen und Co. war gestern – vertrauen Sie auf eine vielschichtige und Datenschutz-konforme App für Ihre Mitarbeiter, deren Mehrwert für Ihre interne Kommunikation und die Vereinfachung Ihrer Prozesse Sie verblüffen wird.;prA/Kommunikation
Qwiek;https://qwiek.eu/de/up;Das Qwiek.up schafft ein audiovisuelles Erlebnis für Betreute, das sie in ihrer eigenen Welt erreicht. Dies reduziert in vielen Fällen den Betreuungsbedarf der Bewohner. Das Qwiek.up bietet zahlreiche Interventionsmöglichkeiten und unterstützt die Betreuer in den Momenten, die danach verlangen.;IA/Assistenzsystem
recare;https://recaresolutions.com/;Wir suchen, finden und koordinieren die Kapazitäten für optimal geplante Versorgungspfade. Damit Sie mehr Zeit für Ihre Patienten haben.;prA/Kommunikation
SafeSense 3;https://www.wi-bo.com/en-DE/nursing-care/DigitalSolutions/SafeSense3;SafeSense® 3 consists of a completely contactless, patented sensor pad which is positioned under the mattress and detects the smallest pressure changes in real time. This allows the movement activity of residents or patients to be recorded and the visualised data can be used to draw valuable conclusions about their individual movement profile.;prA/Assistenzsystem
SELBSTANAMNESE;https://www.selbstanamnese.de/;"Im Krankheitsfall werden Ihre potenziell medizinisch relevanten Informationen durch das Fachpersonal erfasst.
Diese Informationen können Sie im Vorfeld vorbereiten - das spart wertvolle Zeit und Ressourcen. ";IA/Kommunikation
SensFloor;https://future-shape.com/system/;SensFloor ist ein großflächiges Sensor Underlay, das unter jedem Bodenbelag installierbar ist – unauffällig und diskret. Personen, die über den Boden gehen erzeugen Signale, die zu einem Empfänger gefunkt werden. Dieser kann Anzahl der Personen, ihre Bewegungsrichtung und Geschwindigkeit berechnen, sowie Stürze erkennen.;prA/Assistenzsystem
SENSO;https://www.develop-group.de/produktsoftware-senso/senso-innovativ/dynasens/;Ergebnisse des am 31.12.2015 abgeschlossenen Forschungsprojektes wurden in die Pflegedokumentationssoftware SENSO® übernommen. Durch das neuartige Konzept wird es möglich, die auf die Pflegemitarbeiter wirkenden körperlichen und psychischen Belastungen z. B. in der Tourenplanung zu berücksichtigen und individuelle Belastungsgrenzen nicht zu überschreiten – und das ganz ohne zusätzlichen Technikeinsatz.;prA/Dokumentation
SIGUBOX;https://www.sigubox.de/;Monatliche kostenfreie Lieferung von Pflegehilfsmitteln im Wert bis zu 60 EUR – kostenlos, stressfrei. Das ist SIGUBOX, das Pflegepaket für Menschen mit Pflegegrad.;prA/Telecare
SIGUDOKS;https://www.sigudoks.de/;SIGUDOKS stellt sicher, dass Sie im Krankheitsfall so versorgt werden, wie Sie es wollen! Das digitale Vorsorge-Set SIGUDOKS gibt Angehörigen und Gesundheitseinrichtungen alle notwendigen Antworten dazu: Informationen zu Ihrer Person, Ärzten, Notfallnummern, Krankengeschichte, Allergien & Unverträglichkeiten, Impfungen, Digitaler Nachlass uvm.;prA/Dokumentation
siilo;https://www.siilo.com/de/;Die intuitive Benutzeroberfläche und das speziell für das Gesundheitswesen entwickelte Design machen Siilo zum bevorzugten Messenger von mehr als 350.000 medizinischen Fachkräften. Sichere Koordination Ihrer Patientenversorgung und anwenderfreundliche Besprechung schwieriger Fälle sind nur einen Klick entfernt.;prA/Kommunikation
Silverfit;https://silverfit.com/de/;SilverFit bietet 3D basierte Trainingsmethoden für die Rehabilitation und Altenpflege an, mit denen ältere Menschen länger unabhängig und mobil bleiben können. Spezielles Angebot für Menschen mit Demenz. Bewegungsgesteuerte Computerplattform mit 3D Kamera.;wA/Telecare
simplinic;https://www.simplinic.de/;simplinic.Cloud enthält ein 3D-Raummodell des Krankenhausgebäudes. Dieses wird initial von simplinic-Mitarbeitern während des Rollouts im Map-Editor der Software auf Grundlage von Flurplänen erstellt. Das Raummodell basiert auf Längen- und Breitengraden sowie Bezeichnung und Funktion der Räume. Auf Basis dieser Informationen kann die Software lokalisierte Objekte einem Raum zuordnen.;prA/Dokumentation
Sturzmelder;http://www.sturzmelder.de/#:~:text=Sie%20tragen%20den%20Sturzmelder%20immer%20bei%20sich.%20Wenn,und%20sendet%20gleichzeitig%20eine%20Textnachricht%20an%20alle%20Nummern.;Der Sturzmelder schenkt Senioren und Menschen, die manchmal auf Hilfe angewiesen sind, Unabhängigkeit und Sicherheit.Durch einen einfachen Knopfdruck auf den Sturzmelder kann jederzeit Hilfe organisiert werden, ebenso ist eine automatische Rufauslösung bei Unfällen oder Stürzen möglich;IA/Kommunikation
Super Nurse;https://supernurse.de/;Auf Dich und Dein Team warten mehr als 5.500 spannende Fragen zu über 41 Fachthemen. Bring Dich und Dein Team spielerisch immer auf den aktuellsten Stand der Pflegewissenschaft.;wA/Kommunikation
TabTime;https://de.tabtime.com/products/tabtime-4;Das neue TabTime 4 fasst bis zu 28 Aspirin-Tabletten in jedem der 4 Fächer, was einer Kapazität von über 100 Tabletten pro Tag entspricht! TabTime 4 bietet außerdem zwei Alarme, eine blinkende rote LED und einen Audioalarm mit einer wirklich guten Lautstärke!;prA/Assistenzsystem
Tante Laura;https://www.tante-laura.com/;Tante Laura ist eine digitale Besuchsbrücke der Familie zu ihren einsamen Senioren. Sie schafft dauerhaften Kontakt zu den lieben Alten, die leider nicht mehr telefonieren können oder sich in der digitalen Welt des WhatApps etc. nicht mehr zurecht finden. Die Angehörigen füllen Stunden eines permanenten Wochen-Sendeplans mit schönen, vertrauten Botschaften (Fotos, Musik, Kurzvideos, Text-Grüsse), die bei den Betroffenen auf einem Tablet angezeigt werden.;IA/Kommunikation
TAVLA;https://www.tavla.de/;TAVLA entwickelt interaktive Lösungen die besonders einfach per Touch & Sprache bedient werden können. Die über alle Anwendungen hinweg gleichartige Interaktion macht die Nutzung spielend einfach. Dank der übersichtlichen und multimodalen Interaktion können auch Personen mit Einschränkungen ohne fremde Hilfe die Anwendungen nutzen.;IA/Kommunikation
Thieme Coach;https://www.thieme.de/de/thieme-telecare/thieme-coach.htm;Mit der smarten Gesundheitsplattform von Thieme TeleCare werden Patienten in ihrer individuellen Erkrankungssituation unterstützt. Die dazugehörige App Thieme Coach bildet die digitale Oberfläche, mit der Patienten ihre Gesundheit managen. Ein persönlicher Coach kann Patienten zudem über die Thieme Coach App digital und telefonisch begleiten.;wA/Telecare
tigerconnect;https://tigerconnect.com/;TigerConnect solutions put communication, data, and alerts at your fingertips – mobile, reliable, and secure;prA/Kommunikation
Töchter & Söhne;https://toechtersoehne.com/;Töchter & Söhne möchte hilfs- und pflegebedürftige Menschen bestmöglich im Pflegealltag unterstützen. Dafür entwickeln und betreiben wir qualitätsgesicherte E-Health-Lösungen für Betroffene sowie ehrenamtlich und professionell Pflegende.;wA/Kommunikation
Tovertafel;https://www.tover.care/de/;Pflegetechnologie, die es Pflegekräften ermöglicht, Ihre Bewohner und Tagesgäste spielerisch zu betreuen. Tovertafel ist ein Click-and-Ready-System, eine Art Beamer mit Videospielen, die auf einen Tisch projiziert werden. Fördert Lebensqualität und Bewegung bei kognitiven beeinträchtigten Menschen.;IA/Kommunikation
überblick;https://uberblick.io/demo/;Wir entlasten Menschen in der Pflege mit unserer einfachen Lösung für Kommunikation & Koordination. Überblick ist komplementär zur Pflegesoftware und deckt Themen ab, die bisher per Telefon, WhatsApp, Zettel oder im Team-Meeting kommuniziert wurden. Dafür haben wir eine übersichtliche Webversion für die Kolleg*innen am Schreibtisch und ganz einfache mobile Apps für die Kolleg*innen unterwegs entwickelt.;prA/Kommunikation
VAR;https://www.varhealthcare.de/;VAR Healthcare liefert evidenzbasierte Handlungsempfehlungen mit pädagogischen Illustrationen, sowie Zusammenfassungen neuester Forschung, Wissenstests und einen praktischen Rechner.;wA/Kommunikation
Vemotion System;https://www.habel-medizintechnik.at/klinik/geraeteprogramm/robotergestuetzte-fruehmobilisierung/vemo-system;Studien und klinische Erfahrungen belegen: Frühmobilisierung für Intensivpatienten kann den Genesungsverlauf beschleunigen und zur Wiedererlangung der Selbstständigkeit beitragen. Das innovative Vemotion System ist ein robotisch assistiertes System für die Frühmobilisierung von Intensivpatienten.;IA/Robotik
Vielfalt Pflegen;https://www.vielfalt-pflegen.info/;Wie können professionell Pflegende und das Pflegemanagement auf die Bedürfnisse von Menschen mit Migrationsgeschichte eingehen? Vielfalt Pflegen möchte für dieses Thema sensibilisieren, Vorurteile abbauen und Perspektiven aufzeigen. Die Fortbildung stärkt transkulturelle Kompetenzen im Pflegealltag und trägt dazu bei, kulturelle Unterschiede gezielt und angemessen zu berücksichtigen.;wA/Kommunikation
VitaDock+;https://www.medisana.de/VitaDock-App-2-0.html;Mit der VitaDock+ App können alle Gesundheits- und Vitaldaten immer und überall im Blick gehalten werden. Als Nutzer kann man jeden Wert mit Kommentaren ergänzen und sich zusätzlich Verläufe und Auswertungen darstellen lassen. So wird Gesundheitsmanagement noch individueller.;prA/Dokumentation
Vitakt;https://www.vitakt.com/de/vitakt-website/vitakt/das-vitakt-system/;Dafür haben wir ein Hausnotrufsystem entwickelt, das einfach in der Bedienung ist und auf Knopfdruck Notrufe zuverlässig weiterleitet. Diese Notrufe führen nur selten zum Einsatz eines Rettungswagens, häufiger wird Unterstützung durch Angehörige, Nachbarn oder Pflegedienste (Hausnotrufbereitschaft) angefordert.;IA/Kommunikation
Vmobil;https://www.advanova.de/;VMobil ist die erste elektronische Lösung, die eine in Krankenhäusern und anderen Einrichtungen zur Visite, Dokumentation und Information über den Behandlungsstatus genutzte papiergebundene Patientenkurve komplett ablöst. Dadurch ermöglicht VMobil die elektronische Dokumentation aller ärztlichen und pflegerischen Leistungen – insbesondere auch auf mobilen Endgeräten wie z. B. Tablets.;prA/Dokumentation
Wear&Care;https://wearandcare.com/de/start-2/;Wear&Care optimiert die Inkontinenzversorgung mit einer intelligenten und einfach zu handhabenden Sensortechnologie. Der Sensor erkennt zuverlässig, wann das Inkontinenzmaterial voll ist, und unterstützt sowohl Pflegebedürftige als auch Pflegekräfte dabei, den Alltag effizienter zu gestalten. ;IA/Assistenzsystem
ManagingCare Digital;https://mcd.managingcare.de/;ManagingCare Digital (MCD) ist ein digitales Ökosystem, in dem durch die Vernetzung und Integration von verschiedenen Applikationen und Diensten in Verbindung mit analogen Lösungen eine ganzheitliche Digitalisierung der Pflege und Betreuung möglich wird. Funktionen im Webportal und Schnittstellen zu analogen und digitalen Lösungen werden stetig erweitert und neue Features, Dienste und Schnittstellen zu Sensoren-Systemen hinzugefügt. Die Anbindung an MCD mit seiner Forschungsplattform und seinem Forschungsnetzwerk hält Sie immer am Puls der Zeit.;prA/Plattform
Medikit;https://medikit.net/de/;medikit für die Pflege, Die Mitarbeiter-App für eine vereinfachte interne Kommunikation in der Pflege. medikit ermöglicht eine einfache interne Kommunikation und Zusammenarbeit für Teams in der Pflege. Tägliche Arbeitsprozesse und Standards können digital und transparent abgebildet werden. Die Teams können sich dadurch nicht nur besser organisieren, auch die Qualität der Betreuung wird verbessert.;wA/Kommunikation
VIVAIcare;https://vivai.care/;VIVAIcare ist ein digitales Assistenzsystem. Es besteht aus dem Basismodul Vivi (Datensammler für Sensor-daten und Sprachassistenz) und kann je nach erforderlicher Konfiguration mit unterschiedlichen Sensoren verbunden werden, z. B. Sturzsensoren. Das Produkt VIVAIcare hat, abhängig von der Konfiguration, folgende Funktionen: Sturzerkennung mit Alarmierungskette, Datum, Uhrzeit, Kalender, Terminerinnerung, Trinkerinnerung, Medikamentenerinnerung, Eingabe der Blutruckwerte mit Verlauf Eingabe des Gewichts mit Verlauf;IA/Assistenzsystem
Aktivtisch - Der intuitive Aktivitätstisch für die Betreuung;https://www.aktivtisch.de/?gad_source=1&gad_campaignid=21436135430&gclid=EAIaIQobChMInrWoxv_tjQMVpoCDBx31wQDtEAAYASAAEgLkNvD_BwE;Der intuitive Aktivtisch für Senioren, Menschen mit Handicap und für den Einsatz in der Ergotherapie.;IA/Kommunikation
De BeleefTV - De BeleefTV;https://debeleeftv.de/;De BeleefTV ist ein digitaler und mobiler Aktivitätstisch, speziell entwickelt für Menschen mit Demenz. Stimulierende Spiele, das Hören von Musik und das Schwelgen in Erinnerungen bringen die Bewohner von Pflegeeinrichtungen näher zusammen.;IA/Kommunikation
ichó – Therapie und Förderung für Senioren & Kinder – icho systems;https://icho-systems.de/;Menschen mit Demenz oder Schlaganfall benötigen Förderung, die wirksam, abwechslungsreich und zugänglich ist. Der ichó Ball bietet all diese Eigenschaften in einem Therapiegerät.;IA/Kommunikation
Virtuelle Veranstaltungen | ViVerA;https://www.viveras.de/virtuelle-angebote;Digitale Angebote von Freiwilligen für Gruppen & Bewohnerinnen und Bewohner von Altenpflegeeinrichtungen;IA/Plattform
inmu – relaxing music for body, mind and senses - inmutouch.com;https://inmutouch.com/;We wanted to create an electronic tool that enables you to play enchanting music without any prior experience. An inclusive tool that weak and cognitively challenged people can use without any difficulties.;IA/Kommunikation
VRalive - Extended Reality for Digital Health;https://vralive.de/;Mithilfe des VRalive Systems können sowohl 360° Videos als auch XR-Anwendungen angesteuert werden. Die Betreuungsperson hat die volle Kontrolle über relevante Brilleneinstellungen (z.B. Lautstärke) und kann mithilfe der Livestream-Funktion in die Brillen reinschauen.;IA/Kommunikation
VR-Mondo | Esperanto Stacio;https://www.esperantostacio.com/vr-mondo;Lerni nutzt immersives Lernen, um Fachkräften in Medizin und Pflege, die Deutsch lernen, die Fachsprache schneller und intensiver zu vermitteln. So leisten wir einen Beitrag zur Integration von Fachkräften in den Arbeitsmarkt. Als gemeinwohlorientiertes Projekt arbeiten wir daran, die Methoden mit Bildungsträgern und anderen Stakeholdern in Brandenburg im Jahr 2025/26 weiter zu verbreiten.;wA/Kommunikation 
